,0,1
803,0.55,
804,0.53,
805,0.61,
806,0.57,
807,0.6,
808,0.58,
809,0.56,
810,0.56,
811,0.61,
812,0.54,
813,0.61,
814,0.66,
815,0.58,
816,0.52,
817,0.48,
818,0.61,
819,0.58,
820,0.55,
821,0.64,
822,0.57,
823,0.55,
824,0.62,
825,0.55,
826,0.55,
827,0.64,
828,0.61,
829,0.61,
830,0.61,
831,0.55,
832,0.58,
833,0.6,
834,0.46,
835,0.64,
836,0.52,
837,0.55,
838,0.61,
839,0.56,
840,0.61,
841,0.56,
842,0.47,
843,0.56,
844,0.59,
845,0.65,
846,0.55,
847,0.62,
848,0.48,
849,0.55,
850,0.56,
851,0.64,
852,0.61,
853,0.44,
854,0.54,
855,0.6,
856,0.62,
857,0.57,
858,0.59,
859,0.6,
860,0.59,
861,0.49,
862,0.63,
863,0.58,
864,0.6,
865,0.66,
866,0.63,
867,0.58,
868,0.57,
869,0.55,
870,0.62,
871,0.7,
872,0.59,
873,0.65,
874,0.76,
875,0.55,
876,0.61,
877,0.63,
878,0.66,
879,0.54,
880,0.64,
881,0.58,
882,0.61,
883,0.62,
884,0.62,
885,0.58,
886,0.67,
887,0.53,
888,0.54,
889,0.5,
890,0.52,
891,0.57,
892,0.62,
893,0.55,
894,0.64,
895,0.58,
896,0.51,
897,0.6,
898,0.62,
899,0.59,
900,0.45,
901,0.56,
902,0.56,
903,0.59,
904,0.71,
905,0.66,
906,0.58,
907,0.66,
908,0.55,
909,0.61,
910,0.59,
911,0.57,
912,0.69,
913,0.71,
914,0.62,
915,0.55,
916,0.6,
917,0.6,
918,0.58,
919,0.61,
920,0.61,
921,0.57,
922,0.62,
923,0.65,
924,0.63,
925,0.63,
926,0.57,
927,0.63,
928,0.61,
929,0.64,
930,0.66,
931,0.61,
932,0.52,
933,0.6,
934,0.73,
935,0.65,
936,0.56,
937,0.65,
938,0.64,
939,0.55,
940,0.65,
941,0.62,
942,0.61,
943,0.67,
944,0.63,
945,0.54,
946,0.57,
947,0.6,
948,0.67,
949,0.61,
950,0.63,
951,0.63,
952,0.59,
953,0.63,
954,0.67,
955,0.6,
956,0.61,
957,0.63,
958,0.57,
959,0.63,
960,0.58,
961,0.66,
962,0.68,
963,0.63,
964,0.64,
965,0.57,
966,0.49,
967,0.6,
968,0.58,
969,0.64,
970,0.58,
971,0.66,
972,0.63,
973,0.7,
974,0.72,
975,0.54,
976,0.64,
977,0.55,
978,0.64,
979,0.65,
980,0.52,
981,0.64,
982,0.63,
983,0.57,
984,0.66,
985,0.64,
986,0.65,
987,0.64,
988,0.62,
989,0.63,
990,0.69,
991,0.67,
992,0.62,
993,0.52,
994,0.51,
995,0.66,
996,0.57,
997,0.6,
998,0.55,
999,0.67,
1000,0.57,
1001,0.56,
1002,0.57,
1003,0.64,
1004,0.66,
1005,0.64,
1006,0.57,
1007,0.63,
1008,0.69,
1009,0.54,
1010,0.68,
1011,0.69,
1012,0.63,
1013,0.68,
1014,0.64,
1015,0.63,
1016,0.67,
1017,0.67,
1018,0.65,
1019,0.65,
1020,0.64,
1021,0.71,
1022,0.64,
1023,0.71,
1024,0.68,
1025,0.67,
1026,0.7,
1027,0.69,
1028,0.59,
1029,0.64,
1030,0.61,
1031,0.64,
1032,0.7,
1033,0.68,
1034,0.68,
1035,0.61,
1036,0.67,
1037,0.73,
1038,0.74,
1039,0.58,
1040,0.63,
1041,0.75,
1042,0.69,
1043,0.55,
1044,0.73,
1045,0.71,
1046,0.7,
1047,0.67,
1048,0.67,
1049,0.67,
1050,0.66,
1051,0.64,
1052,0.65,
1053,0.61,
